WKT,name,description,From Dora To Baskinta,From Dora To Bikfaya,From Dora to Antelias,Time Table,busname,desci,id,line_parent_id,hub_id,color_path,line_thik,line_type,en_start_name,en_end_name,estimation_time,bus_nb,distance,recorded_date,price,start_time,end_time,track_by,service_type,company_id,default_image,vehicule_type,image_schduel
"LINESTRING (35.495284 33.876893, 35.494988 33.874668, 35.494595 33.871047, 35.494585 33.869451, 35.493897 33.860656, 35.493506 33.850896, 35.494455 33.839852, 35.495166 33.834607, 35.498684 33.833139, 35.505282 33.826907, 35.499364 33.819118, 35.494955 33.813234, 35.488386 33.804898, 35.482606 33.795828, 35.484365 33.796963, 35.48549 33.797876, 35.48766 33.799202, 35.498115 33.790271, 35.501194 33.789587, 35.501816 33.787519, 35.503713 33.785578, 35.506575 33.786325, 35.510714 33.785946, 35.513759 33.784302, 35.516314 33.784242, 35.521483 33.783217, 35.524595 33.783341, 35.528962 33.78246, 35.531112 33.781248, 35.534725 33.781449, 35.539137 33.783565, 35.543226 33.785421, 35.551208 33.788673, 35.55552 33.791308, 35.556997 33.79139, 35.557528 33.790598, 35.563565 33.794558, 35.567327 33.795029, 35.564165 33.791069, 35.562609 33.78771, 35.563105 33.783134, 35.558463 33.781174)",Cola - Kayfoun,,,,,,Cola - Kayfoun,,29,17,Cola,green,8,1,Cola,kayfoun(13),1:00:00,Bus 13,23,8/17/2017 0:00,1500,5:00:00,19:00:00,Mira,Daily Service,Individual Operators,,Bus (24 Seats),
"LINESTRING (35.517541 33.830597, 35.517364 33.832091, 35.517402 33.832624, 35.517303 33.833352, 35.51729 33.833848, 35.517339 33.834244, 35.517329 33.8349, 35.517277 33.835515, 35.517215 33.836069, 35.517171 33.836576, 35.51716 33.837298, 35.517176 33.837828, 35.517195 33.838295, 35.516989 33.838633, 35.51695 33.838945, 35.516928 33.839491, 35.516882 33.840261, 35.516794 33.840855, 35.516724 33.841402, 35.516567 33.84198, 35.516488 33.84261, 35.516415 33.843113, 35.516399 33.843695, 35.516389 33.844303, 35.516312 33.844882, 35.516264 33.845417, 35.516224 33.846127, 35.515803 33.846565, 35.515736 33.846745, 35.516015 33.847211, 35.516063 33.84725, 35.516062 33.847358, 35.515839 33.847879, 35.515725 33.848383, 35.515919 33.848427, 35.51615 33.848673, 35.517012 33.848651, 35.517909 33.848628, 35.518472 33.84866, 35.519103 33.848651, 35.519807 33.8486, 35.520351 33.848642, 35.521017 33.848681, 35.52138 33.848854, 35.521506 33.849335, 35.521686 33.849858, 35.521933 33.850356, 35.521792 33.85096, 35.521652 33.851624, 35.521494 33.852248, 35.521309 33.853001, 35.521279 33.853666, 35.52171 33.853954, 35.521478 33.854013, 35.520922 33.854119, 35.520695 33.854737, 35.520436 33.855276, 35.520129 33.855935, 35.519868 33.856516, 35.519567 33.857141, 35.519499 33.85763, 35.519591 33.858136, 35.519781 33.858838, 35.519702 33.85976, 35.51926 33.860667, 35.51892 33.861139, 35.518823 33.86107, 35.517476 33.862973, 35.517182 33.863444, 35.51704 33.864082, 35.516834 33.864742, 35.516651 33.865446, 35.5166 33.865701, 35.516627 33.866198, 35.516479 33.866801, 35.516428 33.867284, 35.516337 33.867809, 35.516199 33.868419, 35.514819 33.870316, 35.513209 33.871329, 35.512875 33.871772, 35.5124 33.872074, 35.512121 33.872461, 35.511552 33.872947, 35.511111 33.873426, 35.510628 33.873841, 35.510107 33.874266, 35.50956 33.874714, 35.509028 33.875245, 35.508513 33.875783, 35.508056 33.8762, 35.507712 33.876642, 35.507363 33.877123, 35.507334 33.877768, 35.507306 33.87835, 35.507242 33.878927, 35.507255 33.879463, 35.507186 33.880015, 35.507163 33.880546, 35.507084 33.881147, 35.50709 33.881799, 35.507044 33.882283, 35.506998 33.882889, 35.506937 33.883459, 35.506852 33.884009, 35.506781 33.88457, 35.506841 33.885218, 35.506789 33.885794, 35.50687 33.886458, 35.506801 33.886862, 35.50655 33.887422, 35.506484 33.88812, 35.506485 33.888776, 35.506563 33.889415, 35.506703 33.889916, 35.506603 33.890507, 35.506592 33.891102, 35.506488 33.891615, 35.50659 33.892222, 35.506873 33.892812, 35.506974 33.893351, 35.506956 33.893887, 35.506728 33.894289, 35.506441 33.893952, 35.506408 33.893334, 35.506358 33.892703, 35.505684 33.892466, 35.505021 33.892548, 35.50439 33.892739, 35.503773 33.892843, 35.503103 33.893019, 35.502356 33.893213, 35.501597 33.893496, 35.501099 33.893776, 35.500551 33.894093, 35.500037 33.894337, 35.499179 33.894631, 35.49863 33.894803, 35.49793 33.894911, 35.497229 33.894973, 35.496569 33.895037, 35.496027 33.895441, 35.495811 33.895792, 35.495037 33.895649, 35.494263 33.895583, 35.49362 33.895437, 35.49288 33.895361, 35.492505 33.89541, 35.491905 33.895245, 35.491263 33.895264, 35.490448 33.895344, 35.489541 33.895335, 35.488968 33.895352, 35.488525 33.895356, 35.4879 33.8954, 35.487452 33.895219, 35.486755 33.895243, 35.486308 33.895414, 35.485874 33.895539, 35.485487 33.895315, 35.484989 33.895443, 35.485041 33.895549, 35.484913 33.895711, 35.485064 33.89579, 35.48511 33.895767, 35.485225 33.896135, 35.485454 33.896605, 35.485743 33.89687, 35.486294 33.896705, 35.486888 33.896722)",Hamra - Hadath,,,,,,Hamra - Hadath,,30,26,Hamra,#FF8C00,5,1,hamra,hadath,0:45:00,Van 4,12,4/4/2016 0:00,1000,5:00:00,1:30:00,chadi,Daily Service,Individual Operators,,Van (10 Seats),
"LINESTRING (35.55001 33.893972, 35.549272 33.894292, 35.548714 33.894393, 35.547877 33.89458, 35.546933 33.894873, 35.54576 33.89512, 35.544811 33.895341, 35.543975 33.89561, 35.542886 33.895859, 35.541722 33.89608, 35.54052 33.896319, 35.539037 33.896677, 35.536742 33.897262, 35.534871 33.897711, 35.533005 33.898161, 35.531207 33.898621, 35.529434 33.899083, 35.527377 33.899335, 35.525638 33.899373, 35.523949 33.89906, 35.52215 33.898342, 35.520488 33.897268, 35.518848 33.896307, 35.517218 33.896212, 35.515368 33.896774, 35.513631 33.896952, 35.512126 33.897111, 35.510916 33.897533, 35.509888 33.897806, 35.509017 33.897754, 35.507923 33.897569, 35.507316 33.897382, 35.506907 33.896618, 35.506528 33.895492, 35.506363 33.894559, 35.506405 33.893985, 35.506465 33.893194, 35.506246 33.892491, 35.506211 33.892201, 35.506321 33.890849, 35.506506 33.890589, 35.506244 33.889674, 35.506391 33.888774, 35.506291 33.887731, 35.506839 33.885219, 35.506828 33.884251, 35.506857 33.883268, 35.506908 33.882435, 35.507118 33.881635, 35.50717 33.880667, 35.507313 33.879849, 35.507363 33.878966, 35.507528 33.877871, 35.507443 33.876531, 35.507276 33.876137, 35.507358 33.875673, 35.507313 33.875162, 35.507345 33.874563, 35.50742 33.873741, 35.507367 33.872406, 35.507304 33.871666, 35.507268 33.871143, 35.507081 33.870247, 35.507046 33.869192, 35.506888 33.867596, 35.505014 33.863674, 35.504782 33.862873, 35.504334 33.861882, 35.504064 33.861351, 35.503816 33.860953, 35.503461 33.860244, 35.503068 33.859623, 35.503062 33.859381, 35.50289 33.858765, 35.502568 33.857744, 35.502367 33.857146, 35.502182 33.856335, 35.501846 33.855555, 35.501592 33.854896, 35.50134 33.853988, 35.501188 33.85329, 35.500819 33.852393, 35.50049 33.851199, 35.500247 33.850409, 35.50003 33.849895, 35.499799 33.849079, 35.499663 33.848557, 35.499548 33.848063, 35.499316 33.847492, 35.499086 33.846994, 35.498911 33.846455, 35.498781 33.845839, 35.498581 33.845222, 35.498432 33.844713, 35.498253 33.84412, 35.498064 33.843565, 35.497925 33.843046, 35.497794 33.842538, 35.497605 33.842004, 35.497395 33.841331, 35.497205 33.840744, 35.497017 33.840104, 35.496746 33.839196, 35.496527 33.83856, 35.496321 33.837936, 35.496162 33.837404, 35.495914 33.836744, 35.495639 33.835849, 35.495297 33.834816, 35.494977 33.833807, 35.494697 33.832858, 35.494507 33.832326, 35.494328 33.831841, 35.494172 33.831323, 35.494102 33.830987, 35.493951 33.830402, 35.493602 33.829563, 35.493129 33.828751, 35.491953 33.828603, 35.491444 33.827674, 35.491638 33.826549, 35.492489 33.826232)",Dora - Matar (Airport),,,,,,Dora - Matar (Airport),,31,27,Dora,#D8BFD0,5,1,Dora,Matar,0:35:00,10,13,7/10/2016 0:00,1000,5:00:00,23:00:00,chadi,Daily Service,Individual Operators,,Van (10 Seats),
"LINESTRING (35.851787 33.81569, 35.849699 33.816494, 35.84743 33.817578, 35.844684 33.817927, 35.841694 33.818034, 35.839135 33.817282, 35.836792 33.816591, 35.834143 33.814677, 35.831288 33.813253, 35.827803 33.813822, 35.825547 33.812446, 35.822812 33.811409, 35.81952 33.810469, 35.816983 33.808214, 35.814271 33.805907, 35.810332 33.803598, 35.806632 33.804388, 35.803937 33.803701, 35.801053 33.8042, 35.797399 33.804571, 35.794692 33.806098, 35.791505 33.805393, 35.788821 33.806533, 35.786591 33.808187, 35.782924 33.810067, 35.782072 33.813713, 35.778648 33.814256, 35.777192 33.812277, 35.774131 33.811884, 35.771254 33.811876, 35.768474 33.810936, 35.765447 33.809918, 35.761311 33.811525, 35.757187 33.812726, 35.753834 33.810069, 35.748965 33.808594, 35.744058 33.807247, 35.74348 33.803483, 35.739702 33.800856, 35.733426 33.799645, 35.729241 33.799281, 35.727488 33.803294, 35.721552 33.803623, 35.715484 33.805083, 35.710475 33.80629, 35.705505 33.805369, 35.700618 33.802794, 35.695707 33.802491, 35.690382 33.802176, 35.685404 33.799643, 35.681747 33.798605, 35.67836 33.800936, 35.673912 33.80051, 35.669959 33.800426, 35.666858 33.802035, 35.664659 33.803574, 35.662846 33.805022, 35.661577 33.807458, 35.658853 33.809422, 35.65499 33.810612, 35.651534 33.811917, 35.648275 33.812722, 35.64416 33.813911, 35.640574 33.813365, 35.635905 33.811872, 35.631472 33.813078, 35.627488 33.8123, 35.624229 33.813806, 35.622156 33.813841, 35.619368 33.814215, 35.614465 33.815348, 35.609687 33.814387, 35.607764 33.816625, 35.60456 33.81965, 35.599956 33.823069, 35.596711 33.82622, 35.594057 33.827987, 35.591514 33.828951, 35.589859 33.824806, 35.588064 33.826006, 35.588037 33.829148, 35.586207 33.830365, 35.582933 33.830955, 35.582639 33.829813, 35.57731 33.828465, 35.570128 33.830241, 35.566615 33.834927, 35.561471 33.838564, 35.558203 33.841606, 35.555639 33.846221, 35.553289 33.849563, 35.548505 33.849062, 35.544087 33.850215, 35.539192 33.851305, 35.536396 33.853761, 35.531067 33.856109, 35.529901 33.857226, 35.528131 33.858734, 35.525983 33.858612, 35.524242 33.857137, 35.520076 33.857718, 35.517545 33.858123, 35.514976 33.858663, 35.512113 33.85939, 35.508872 33.859285, 35.506087 33.859137, 35.503639 33.859329, 35.501315 33.859387, 35.499259 33.859591, 35.496898 33.85983, 35.49441 33.860012)",Cola - Chtaura,,,,,,Cola - Chtaura,,32,28,Cola,#dc42f4,5,1,cola,chtoura,1:30:00,29,42,8/30/2017 0:00,4000,5:00:00,7:00:00,ali ismail,Daily Service,Individual Operators,,Van (10 Seats),
"LINESTRING (35.494083 33.865222, 35.493945 33.863596, 35.493794 33.861585, 35.493427 33.855029, 35.493576 33.851666, 35.493708 33.84845, 35.493785 33.845497, 35.493819 33.843005, 35.493937 33.841716, 35.494502 33.839264, 35.494307 33.836809, 35.495361 33.834483, 35.498569 33.832942, 35.505146 33.826556, 35.503165 33.82419, 35.49835 33.817858, 35.496053 33.814837, 35.49368 33.811699, 35.491349 33.80867, 35.489031 33.80571, 35.486605 33.802704, 35.484214 33.799705, 35.482383 33.797324, 35.482613 33.79523, 35.483402 33.796085, 35.484121 33.797009, 35.485184 33.798044, 35.486201 33.798793, 35.487562 33.798797, 35.487659 33.797573, 35.487251 33.795968, 35.487993 33.794894, 35.488713 33.793823, 35.488678 33.792307, 35.488848 33.791143, 35.489214 33.789866, 35.489513 33.788936, 35.489767 33.787699, 35.490102 33.78661, 35.490481 33.785738, 35.491175 33.78487, 35.491989 33.783955, 35.492574 33.783151, 35.493439 33.782019, 35.494027 33.781124, 35.49396 33.779799, 35.493703 33.778817, 35.493366 33.777683, 35.493064 33.776808, 35.493231 33.775969, 35.494308 33.775329, 35.496154 33.77512, 35.498549 33.775239, 35.499922 33.77374, 35.500488 33.772375, 35.501641 33.771539, 35.503805 33.770757, 35.505583 33.770236, 35.506384 33.768785, 35.50608 33.767001, 35.505741 33.765539, 35.506442 33.764362, 35.507256 33.762655, 35.509301 33.762948, 35.510844 33.763976, 35.512206 33.763268, 35.51392 33.763285, 35.515448 33.76312, 35.517135 33.762214, 35.518762 33.761669, 35.520554 33.761862, 35.521852 33.761337, 35.520566 33.760624, 35.519317 33.759798, 35.518041 33.759683, 35.519592 33.759362, 35.521295 33.759856, 35.522827 33.760115, 35.524146 33.760306, 35.523381 33.759339, 35.524106 33.758578, 35.525619 33.758442, 35.526825 33.759252, 35.528102 33.759813, 35.528041 33.758557, 35.528648 33.757289, 35.52957 33.755974, 35.530142 33.756333, 35.530252 33.757747, 35.530471 33.758593, 35.531366 33.757449, 35.532754 33.75677, 35.534827 33.756309, 35.536612 33.756021, 35.538494 33.755212, 35.539905 33.754753, 35.541248 33.754214, 35.54317 33.752915)",Cola - Qabr Chmoun (3aramoun),,,,,,Cola - Qabr Chmoun (3aramoun),,33,29,Cola,#b942f4,5,1,Cola,Qabr Chmoun(Aramoun),0:30:00,,20,8/27/2017 0:00,2000,5:30:00,7:00:00,ali ismail,Daily Service,Individual Operators,,Van (10 Seats),
"LINESTRING (35.493592 33.858601, 35.492916 33.856744, 35.493037 33.854737, 35.493397 33.850581, 35.493722 33.844456, 35.49435 33.83636, 35.495065 33.834612, 35.497313 33.833405, 35.497696 33.833346, 35.499105 33.832884, 35.500381 33.832184, 35.503132 33.824046, 35.496791 33.815975, 35.492282 33.809917, 35.484736 33.799831, 35.482703 33.794926, 35.481156 33.790562, 35.473898 33.779433, 35.470446 33.774125, 35.467797 33.77005, 35.458862 33.760978, 35.455388 33.754807, 35.452236 33.749169, 35.453796 33.737054, 35.452679 33.725474, 35.451635 33.717032, 35.449597 33.710559, 35.44485 33.705565, 35.439841 33.699852, 35.427731 33.694354, 35.423031 33.688726, 35.423697 33.681554, 35.42602 33.675055, 35.427769 33.664231, 35.420646 33.653242, 35.400968 33.644767, 35.402218 33.631167, 35.402134 33.623341, 35.404654 33.609556, 35.395661 33.606046, 35.390638 33.601526, 35.388019 33.592774, 35.387671 33.591879, 35.38568 33.58425, 35.383638 33.579104, 35.376846 33.56975, 35.375392 33.567168, 35.372998 33.566182, 35.370495 33.56551, 35.36859 33.563936, 35.367417 33.561173, 35.364459 33.546296, 35.36384 33.535389, 35.364378 33.528454, 35.364112 33.522816, 35.360376 33.516628, 35.354819 33.511027, 35.34883 33.505004, 35.342496 33.494829, 35.342309 33.490814, 35.344708 33.487755, 35.349267 33.479083, 35.35722 33.479905, 35.361543 33.476855, 35.365042 33.473449, 35.369603 33.47114, 35.387806 33.464173, 35.391443 33.457977, 35.394025 33.452758, 35.398766 33.446951, 35.404681 33.442931, 35.410411 33.440758, 35.415184 33.437774, 35.42248 33.434444, 35.429698 33.432902, 35.436501 33.433075, 35.443393 33.433643, 35.457393 33.430027, 35.464714 33.426055, 35.468105 33.422484, 35.470364 33.41755, 35.473754 33.412599, 35.478292 33.407973, 35.479329 33.402069, 35.488203 33.393475, 35.488614 33.392851, 35.490442 33.389927, 35.490626 33.389467, 35.490858 33.38799, 35.49066 33.385068, 35.49055 33.381326, 35.489767 33.380946, 35.486602 33.378834, 35.484788 33.378939)",Beirut - Nabatieh,,,,,,Beirut - Nabatieh,,34,30,Cola,#e87340,5,1,Cola,Nabatieh,1:50:00,,145,7/2/2017 0:00,8000,5:00:00,8:30:00,Ali Ismail,Daily Service,Individual Operators,,Van (10 Seats),
"LINESTRING (35.363564 33.536831, 35.36351 33.53664, 35.36343 33.536274, 35.363338 33.535942, 35.363178 33.535686, 35.36301 33.535358, 35.3629 33.534985, 35.362789 33.53463, 35.362656 33.534168, 35.362602 33.534035, 35.362537 33.533901, 35.362495 33.53373, 35.362457 33.533478, 35.362331 33.533047, 35.362164 33.53207, 35.362057 33.531681, 35.361912 33.531116, 35.36179 33.530682, 35.360657 33.527672, 35.357895 33.520565, 35.357811 33.520393, 35.357777 33.520264, 35.357548 33.51989, 35.357296 33.519413, 35.357056 33.518951, 35.356792 33.51849, 35.356216 33.517601, 35.355938 33.517113, 35.355251 33.515862, 35.355167 33.515572, 35.354881 33.515289, 35.354649 33.51503, 35.354362 33.514606, 35.350193 33.509178, 35.350063 33.50901, 35.349838 33.508743, 35.349415 33.508263, 35.348988 33.507568, 35.348156 33.506233, 35.347919 33.505932, 35.347633 33.505562, 35.34721 33.505112, 35.346783 33.50462, 35.346355 33.504066, 35.346256 33.503914, 35.346035 33.503632, 35.341129 33.497478, 35.340923 33.497093, 35.340645 33.496647, 35.341446 33.492191, 35.340454 33.491383, 35.316254 33.467262, 35.316006 33.467319, 35.315884 33.467335, 35.315613 33.467415, 35.315281 33.467499, 35.314735 33.467636, 35.314133 33.467796, 35.289562 33.459324, 35.277972 33.44336, 35.267071 33.414277, 35.264153 33.387263, 35.265526 33.371065, 35.251364 33.338158, 35.243639 33.324891, 35.223812 33.296271, 35.218491 33.284864, 35.213599 33.272809)",Saida - Sour,,,,,,Saida - Sour,,35,24,Dora,#40b6c4,5,1,saida,Tyr,0:00:00,,0,1/1/2002 0:00,2000,0:00:00,0:00:00,Alaa Salam,Daily Service,Individual Operators,,Van (10 Seats),
"LINESTRING (35.494939 33.877383, 35.494953 33.876374, 35.495186 33.875726, 35.495527 33.875869, 35.495411 33.876814, 35.495513 33.877464, 35.495513 33.878973, 35.496646 33.879083, 35.497734 33.87881, 35.498996 33.8787, 35.499365 33.878516, 35.500473 33.87861, 35.502993 33.878003, 35.508916 33.87829, 35.512201 33.878544, 35.517019 33.878876, 35.51861 33.87879, 35.519787 33.878864, 35.519243 33.876376, 35.519331 33.875628, 35.520486 33.875027, 35.52133 33.873861, 35.52222 33.873223, 35.522676 33.872223, 35.524937 33.869652, 35.525567 33.869203, 35.526992 33.867719, 35.52747 33.865688, 35.526438 33.864066, 35.526652 33.860146, 35.526841 33.858965, 35.527082 33.857876, 35.527006 33.857623, 35.527154 33.856335, 35.527373 33.854819, 35.53276 33.854957, 35.536812 33.852596, 35.538672 33.851333, 35.541603 33.850627, 35.547822 33.849258, 35.550759 33.849098, 35.554013 33.849324, 35.556437 33.84439, 35.55893 33.840533, 35.562273 33.837809, 35.564365 33.83616, 35.56662 33.834965, 35.568164 33.832807, 35.572304 33.82941, 35.576429 33.828729, 35.579915 33.828162, 35.581312 33.828488, 35.582771 33.829908, 35.582511 33.831021, 35.582752 33.831079, 35.585528 33.830686, 35.586619 33.830297, 35.589477 33.830784, 35.591114 33.831716, 35.592543 33.832385, 35.595668 33.830737, 35.598001 33.829663, 35.602019 33.826558, 35.605457 33.824031, 35.607218 33.824013, 35.608006 33.827962, 35.608136 33.829099, 35.609129 33.830062, 35.614579 33.832566, 35.617044 33.833873, 35.617709 33.834982, 35.618488 33.836766, 35.620123 33.837299, 35.621934 33.836957, 35.625219 33.836241, 35.627164 33.835525, 35.628558 33.833646, 35.636425 33.826549, 35.637448 33.824365, 35.63907 33.823945, 35.640855 33.823362, 35.642083 33.822552, 35.642086 33.822694, 35.644636 33.822363, 35.64691 33.824271, 35.649147 33.825869, 35.646929 33.82628, 35.646567 33.827308, 35.645799 33.827857, 35.645818 33.827875, 35.646361 33.827807, 35.646996 33.82632, 35.64854 33.826364, 35.6485 33.825335, 35.647262 33.824236, 35.644786 33.822315, 35.642165 33.822731, 35.640293 33.823474, 35.638289 33.824392, 35.637041 33.825554, 35.635591 33.82757, 35.631955 33.829869, 35.629033 33.833264, 35.625933 33.836086, 35.624956 33.836255, 35.622459 33.837182, 35.620661 33.837161, 35.618407 33.836502, 35.61772 33.835357, 35.616935 33.834046, 35.612997 33.832248, 35.608334 33.829839, 35.608161 33.828852, 35.607886 33.827401, 35.607049 33.823674, 35.605315 33.823797, 35.602243 33.82613, 35.598299 33.82941, 35.596683 33.830215, 35.594449 33.831342, 35.592474 33.83231, 35.591122 33.831547, 35.587368 33.829915, 35.584496 33.830742, 35.582986 33.830839, 35.58242 33.830225, 35.580964 33.828379, 35.574294 33.828877, 35.568568 33.831794, 35.567944 33.83356, 35.563958 33.836645, 35.560797 33.839036, 35.558373 33.84164, 35.555988 33.845335, 35.550879 33.849074, 35.547484 33.849197, 35.544024 33.850054, 35.540328 33.850961, 35.53661 33.853826, 35.533427 33.857789, 35.530355 33.863346, 35.526397 33.869495, 35.523724 33.875785, 35.519974 33.879815, 35.518027 33.880619, 35.518989 33.87999, 35.518138 33.879049, 35.513923 33.878813, 35.508771 33.878366, 35.505639 33.878074, 35.503628 33.877813)",Cola - Chwit (Araya),,,,,,Cola - Chwit (Araya),,36,31,Cola,#6ee53b,5,1,Cola,chwit,1:45:00,3,42,8/21/2017 0:00,2000,5:00:00,8:00:00,Mira Tfaily,Daily Service,Individual Operators,,Bus (24 Seats),
"LINESTRING (35.495349 33.878716, 35.495317 33.878612, 35.495055 33.878187, 35.495018 33.876862, 35.494852 33.876116, 35.495174 33.875565, 35.494829 33.874776, 35.494475 33.86994, 35.494531 33.869319, 35.49413 33.866312, 35.493789 33.862316, 35.493524 33.855777, 35.493456 33.849924, 35.493861 33.842074, 35.49117 33.839094, 35.484583 33.838405, 35.484423 33.834396, 35.4842 33.829187, 35.486446 33.821363, 35.482452 33.813287, 35.480278 33.803022, 35.478105 33.797714, 35.480102 33.790431, 35.47918 33.787665, 35.475688 33.782181, 35.472824 33.777786, 35.470801 33.774556, 35.466714 33.76853, 35.462166 33.764291, 35.458369 33.75988, 35.45543 33.754882, 35.452452 33.750341, 35.452743 33.744983, 35.45369 33.737613, 35.453654 33.732338, 35.452925 33.727994, 35.453007 33.727626, 35.454288 33.727596, 35.455325 33.727205, 35.456629 33.728817, 35.457975 33.72941, 35.459336 33.730551, 35.460756 33.733077, 35.462354 33.733555, 35.465852 33.735103, 35.467491 33.735061, 35.467503 33.736506, 35.469427 33.737058, 35.471532 33.737057, 35.473523 33.737294, 35.474178 33.735576, 35.476119 33.733775, 35.478909 33.73563, 35.481508 33.737104, 35.48464 33.735726, 35.486992 33.734789, 35.489056 33.735121, 35.4902 33.735489, 35.49108 33.736387, 35.491793 33.736434, 35.494779 33.735293, 35.497592 33.737735, 35.500364 33.739598, 35.502738 33.737489, 35.50586 33.735755, 35.509648 33.734856, 35.514629 33.731693, 35.516239 33.729083, 35.513494 33.726212, 35.513787 33.723112, 35.516922 33.725114, 35.518691 33.724246, 35.520932 33.724808, 35.524732 33.725575, 35.52768 33.726155, 35.530251 33.726148, 35.531772 33.726205)",Cola - Kafar Matta,,,,,,Cola - Kafar Matta,,37,32,Cola,#196c7f,5,1,Cola,Kafar Matta,0:50:00,11,30,8/2/2017 0:00,2000,0:00:00,0:00:00,Mira Tfaily,Daily Service,Individual Operators,,Bus (24 Seats),
"LINESTRING (35.590874 33.676752, 35.588946 33.679399, 35.588061 33.681658, 35.58648 33.683049, 35.584038 33.684573, 35.579202 33.686192, 35.577323 33.685357, 35.573866 33.683443, 35.57308 33.681046, 35.570101 33.679775, 35.569713 33.678173, 35.568075 33.677757, 35.564803 33.677803, 35.561989 33.676194, 35.558857 33.67782, 35.558236 33.678934, 35.556589 33.680119, 35.553657 33.681499, 35.55097 33.68186, 35.547258 33.68204, 35.54321 33.680325, 35.544736 33.682838, 35.548233 33.684389, 35.553411 33.685154, 35.553073 33.686243, 35.547776 33.685785, 35.541046 33.684135, 35.536516 33.682126, 35.536564 33.683651, 35.541787 33.686951, 35.54694 33.687963, 35.541075 33.69036, 35.533401 33.690951, 35.527794 33.68903, 35.522942 33.687515, 35.518359 33.688054, 35.517047 33.688379, 35.516006 33.688867, 35.51356 33.689652, 35.509939 33.690384, 35.506885 33.689298, 35.503132 33.687678, 35.50165 33.688096, 35.497033 33.686519, 35.490251 33.688469, 35.484224 33.693049, 35.479953 33.697298, 35.485292 33.696934, 35.485333 33.698507, 35.479662 33.699016, 35.475599 33.697943, 35.472549 33.699122, 35.468467 33.701678, 35.467765 33.704943, 35.461942 33.705828, 35.455933 33.708787, 35.451987 33.705663, 35.450109 33.705757, 35.449679 33.708321, 35.451184 33.714351, 35.452474 33.722408, 35.453492 33.731089, 35.453655 33.739829, 35.452423 33.748324, 35.456223 33.756031, 35.461565 33.763503, 35.468225 33.770373, 35.472612 33.777143, 35.47578 33.781802, 35.479101 33.787152, 35.479527 33.78783, 35.479457 33.787793, 35.479378 33.787403, 35.479037 33.793874, 35.480588 33.803388, 35.482906 33.814958, 35.484952 33.826892, 35.484531 33.83341, 35.484689 33.836834, 35.487183 33.839198, 35.494281 33.837966, 35.49451 33.833515, 35.494668 33.832053, 35.495106 33.836311, 35.494085 33.844829, 35.493927 33.852421, 35.493826 33.856508, 35.493774 33.858145, 35.494086 33.860009, 35.494519 33.864589, 35.494829 33.869681, 35.495225 33.873368, 35.495511 33.875713, 35.495506 33.875401, 35.496407 33.874639, 35.497677 33.87331, 35.498008 33.872976, 35.498008 33.873008, 35.498352 33.872771, 35.499285 33.872222, 35.500825 33.870839, 35.502758 33.87015, 35.503393 33.868847, 35.503058 33.867467, 35.505103 33.866831, 35.507602 33.866989, 35.509287 33.867926, 35.512451 33.86956)",Beirut - Boqaata,,,,,,Beirut - Boqaata,,38,33,Cola,#196c7f,5,1,Cola,Boqaata,1:30:00,,50,10/31/2007 0:00,3000(),0:00:00,0:00:00,Clement Lamy,Daily Service,Individual Operators,,Bus (24 Seats),
